,0,1,2,3,4,5,6,7
125,46.0,0.0,,,0.0,0.0,0.0,0.0
126,47.0,0.0,0.0,0.0,0.0,,0.0,0.0
127,48.0,0.0,0.0,0.0,,,0.0,0.0
128,49.0,0.0,,0.0,,,0.0,0.0
129,50.0,0.0,,0.0,0.0,0.0,0.0,0.0
130,53.0,,,,,,0.0,0.0
131,55.0,,,,,,0.0,0.0
132,61.0,,,,,,0.0,0.0
133,62.0,0.0,,,,,0.0,0.0
134,65.0,0.0,,0.0,0.0,0.0,0.0,0.0
135,66.0,0.0,0.0,0.0,,,0.0,0.0
136,69.0,,0.0,0.0,,,0.0,0.0
137,74.0,0.0,,0.0,0.0,,0.0,0.0
138,77.0,0.0,,,,,1.0,0.0
139,84.0,,,,,0.0,0.0,0.0
140,85.0,,0.0,0.0,,,0.0,0.0
141,88.0,,0.0,0.0,,,0.0,0.0
142,91.0,0.0,0.0,0.0,,0.0,0.0,0.0
143,93.0,,,,,,0.0,0.0
144,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,97.0,0.0,0.0,,,0.0,0.0,0.0
146,98.0,0.0,0.0,0.0,,,0.0,0.0
147,100.0,,,0.0,,0.0,0.0,0.0
148,101.0,,0.0,,,,0.0,0.0
149,102.0,,,,,,0.0,0.0
150,103.0,0.0,,,,,0.0,0.0
151,105.0,0.0,0.0,0.0,,0.0,0.0,0.0
152,110.0,0.0,,,,,0.0,0.0
153,113.0,,,,,,0.0,0.0
154,117.0,,,,,,0.0,0.0
155,121.0,,,,,,0.0,0.0
156,123.0,0.0,,0.0,,,0.0,0.0
157,124.0,0.0,0.0,0.0,,,0.0,0.0
158,125.0,,,0.0,,,0.0,0.0
159,126.0,,,,,,0.0,0.0
160,129.0,,,,,,0.0,0.0
161,133.0,,0.0,0.0,,0.0,0.0,0.0
162,134.0,0.0,,,0.0,,0.0,0.0
163,141.0,0.0,,,0.0,0.0,0.0,0.0
164,144.0,0.0,0.0,0.0,,,0.0,0.0
165,146.0,,0.0,0.0,,,0.0,0.0
166,148.0,,,0.0,,,0.0,0.0
167,149.0,,0.0,0.0,,,0.0,0.0
168,150.0,,,,,,0.0,0.0
169,151.0,0.0,,,,,0.0,0.0
170,152.0,,,0.0,,,0.0,0.0
171,157.0,0.0,0.0,0.0,,0.0,0.0,0.0
172,159.0,0.0,,,,,0.0,0.0
173,160.0,0.0,,,,0.0,0.0,0.0
174,162.0,0.0,,0.0,,0.0,0.0,0.0
175,164.0,,,,,,0.0,0.0
176,169.0,0.0,,,0.0,,0.0,0.0
177,170.0,0.0,,,,0.0,0.0,0.0
178,171.0,0.0,,,0.0,0.0,0.0,0.0
179,172.0,,,,,,0.0,0.0
180,174.0,0.0,,,0.0,0.0,0.0,0.0
181,175.0,,0.0,0.0,0.0,0.0,0.0,0.0
182,177.0,0.0,0.0,0.0,,0.0,0.0,0.0
183,179.0,,,,,,0.0,0.0
184,180.0,,,,,,0.0,0.0
185,181.0,0.0,0.0,0.0,,0.0,0.0,0.0
186,183.0,,,,,0.0,0.0,0.0
187,184.0,,,,,,0.0,0.0
188,185.0,0.0,0.0,0.0,,0.0,0.0,0.0
189,194.0,,,0.0,,,0.0,0.0
190,196.0,0.0,0.0,0.0,,,0.0,0.0
191,197.0,,,,0.0,,0.0,0.0
192,12.0,,,-1.0,,,0.0,-1.0
193,22.0,,,-1.0,,,0.0,-1.0
194,63.0,,,,,-1.0,0.0,-1.0
195,64.0,0.0,,-1.0,,0.0,0.0,-1.0
196,75.0,,,-1.0,,0.0,0.0,-1.0
197,89.0,,-1.0,0.0,,0.0,0.0,-1.0
198,67.0,,-1.0,,-1.0,0.0,0.0,-2.0
199,82.0,,-1.0,0.0,,-1.0,0.0,-2.0
