alg1,alg2,alg3,alg4,alg5,alg6,alg7,measures
-3.7078280187904467,-3.862782147820756,-3.8627816307690077,-3.8625861262086434,-3.7083686208892765,-3.8251773036148062,-3.8277542613425504,1
-3.3057812883270103,-3.862782147820756,-3.8627674129899647,-3.76242222105392,-3.3487134060883714,-3.813036973900504,-2.6747172969470547,2
-3.656221125617172,-3.862782147820756,-3.862779779930052,-3.862721002432469,-3.4244185802496085,-3.649106307924293,-3.6816289250925625,3
-2.8962956761690073,-3.862782147820756,-3.8626767173084917,-3.861203480534662,-3.6013261374313914,-3.769429216143665,-3.53552074230592,4
-3.0754685071691275,-3.862782147820756,-3.862197047715067,-3.8621086014218053,-3.7527862335657014,-3.7220919028324477,-3.1967996789547852,5
-2.9252939821541233,-3.862782147820756,-3.862782147817486,-3.8622333631002848,-3.7695747134154307,-3.785598041120345,-3.812268951096211,6
-3.526213618864213,-3.862782147820756,-3.8533348120001776,-3.8611168931887256,-3.182816104214799,-3.8619994450581556,-3.7726043961749145,7
-3.484172631504975,-3.862782147820756,-3.8620637471589685,-3.7816379633432193,-3.695851732530074,-3.738498815031349,-3.418779563905032,8
-3.1258837301691855,-3.862782147820756,-3.8627801915866593,-3.860039037146561,-3.775701848354765,-3.7718819060141584,-3.5051423278103613,9
-3.7241740658734126,-3.862782147820756,-3.8625346770224223,-3.8103990419157707,-3.2399614514723973,-3.8479930269374036,-3.238951999759175,10
-3.635473709406501,-3.862782147820756,-3.8627111187424976,-3.8624062525543503,-3.823685426939614,-3.8448092325567664,-3.7450297608594436,11
-3.5072962692588203,-3.862782147820756,-3.860394565621073,-3.8603173702256335,-3.3450794431165134,-3.6998294334945534,-3.733725451949413,12
-3.5177441759848973,-3.862782147820756,-3.861010639303073,-3.857014148697899,-3.7570681936327737,-3.8462905090653092,-3.5225914138985517,13
-3.6574493144714824,-3.862782147820756,-3.86278212781741,-3.8601509262410043,-3.031346173394852,-3.7768222562845435,-3.5975069766715686,14
-3.310658024501371,-3.862782147820756,-3.777122715425525,-3.862774786294269,-3.3269984112895807,-3.726327952157199,-3.616560170041101,15
-3.503952585164648,-3.862782147820756,-3.8627670002878003,-3.8613193148144616,-3.6278987587499887,-3.8526859155094084,-3.4655569774216923,16
-3.5225022868768687,-3.862782147820756,-3.8626553277077122,-3.8536258006423294,-2.6363111292378423,-3.7399695425608654,-3.648110792491289,17
-3.7747671530085007,-3.862782147820756,-3.8597392175296097,-3.8597128156916662,-3.227412260372587,-3.8084222161191317,-3.447857365472358,18
-3.7723630259420236,-3.862782147820756,-3.8627821466305456,-3.8606093759257476,-3.5975569437001242,-3.5415581164754832,-2.467309462631259,19
-3.75862771940917,-3.862782147820756,-3.8627821121810206,-3.8541557761405087,-3.695424767970781,-3.8189649625640434,-2.981832637240852,20
-3.5678958409147463,-3.862782147820756,-3.8627431245900756,-3.8627276283567666,-3.6420266708838054,-3.857318859533241,-3.446917662171428,21
-3.617767933825765,-3.862782147820756,-3.8627821478183053,-3.862119469397764,-2.6484790171083015,-3.8566293468008372,-3.4377827795660085,22
-3.466491496871349,-3.862782147820756,-3.8621408047127015,-3.862355125357853,-3.369887050568728,-3.841351371350118,-3.5648228713367525,23
-3.779539895236977,-3.862782147820756,-3.7973810292234487,-3.8626510612445735,-3.128973695825424,-3.8243791087254815,-3.367301266288841,24
-3.588857690208723,-3.862782147820756,-3.860126328097226,-3.8622320783604636,-2.9286157980503216,-3.8606453799372535,-3.3173963630157406,25
-3.6394321077250558,-3.862782147820756,-3.8612213567086284,-3.8577057592197908,-3.6510998760999405,-3.8613983957974045,-3.518701839952476,26
-3.098474118708686,-3.862782147820756,-3.8423941157751758,-3.7932531612339773,-3.6540395008246187,-3.8502438377041504,-3.4004866586426887,27
-3.8449754688594453,-3.862782147820756,-3.8626857842077578,-3.807525633159255,-3.231041179212625,-3.7266958285992207,-3.6186737440481256,28
-3.6211862669746835,-3.862782147820756,-3.8627257730870506,-3.841825188255256,-3.511452187752264,-3.584584043684012,-3.151715333962399,29
-3.7035198057786114,-3.862782147820756,-3.8542994116603118,-3.862669614992247,-3.1233379219174604,-3.7811988051392436,-3.3480873119402235,30
