alg1,alg2,alg3,alg4,alg5,alg6,alg7,measures
0,1.2950862857179905e-20,0,0.6994696473570222,132794592.59319122,0,137377.00704168144,1
0,4.180036838855992e-20,0,0.36447497417218816,142630702.41786975,0,4011481.4223045576,2
0,4.0589309973375123e-20,0,0.09451394607359881,73510011.34602398,0,4343074.3041152265,3
0,1.0001788933587705e-19,0,0.47667365732967454,100005360.5860593,0,1971887.3320266593,4
0,1.0879170868638338e-20,0,0.15152906301333965,117212997.12472473,0,4306185.915733089,5
0,1.0682971396230908e-20,0,0.25575783018673864,213737658.25912046,0,13629715.31002366,6
0,2.031529333576458e-20,0,0.7009717265047808,60383613.12348173,0,2136791.7132178186,7
0,1.0007672387214951e-20,0,0.26172076702290553,235374817.12977025,0,628181.7116566324,8
0,1.3858015469731926e-19,0,0.4284803653396564,47891795.679572016,0,4811817.084270157,9
0,2.32008930592204e-20,0,0.7493460433888313,241175814.14347613,0,1454775.7337986745,10
0,1.8117950574810568e-20,0,0.8026913872266239,142590449.62497902,0,5473168.952030886,11
0,3.601059820675103e-21,0,0.482868093170332,75393449.94247708,0,1345820.6308174988,12
0,1.7629115789416144e-20,0,0.20815020834344986,132806069.4731196,0,2738857.3256629766,13
0,1.380603778747289e-20,0,0.4365675039658376,90695075.52015057,0,1306546.1194839908,14
0,1.5739276446998888e-20,0,0.5149242639596775,231761741.08147705,0,2820274.826575681,15
0,2.8295962951167036e-20,0,0.2598557226128396,110116976.11552657,0,3580591.007127261,16
0,5.095571035246386e-21,0,0.3698632332360198,303637490.8583143,0,34.86014219894024,17
0,1.3127267634263643e-20,0,0.6191141742657581,50393226.29839102,0,9614935.466429064,18
0,9.22966730690207e-21,0,0.41093713638355667,192641238.39801514,0,2347841.368583017,19
0,3.020376493977837e-20,0,0.2370728287822811,160888717.30909112,0,1567640.6750106907,20
0,2.810278221582289e-20,0,0.14834408929690013,80312180.22355452,0,1773004.1094169915,21
0,3.1279235184765376e-20,0,0.997719072757119,144603920.73470291,0,3559275.114390524,22
0,2.0943306864179316e-20,0,0.25097177206277116,223944308.72401932,0,6075142.242020486,23
0,9.646706385171861e-21,0,0.2888850773896514,192203490.91254398,0,262610250.99338627,24
0,5.3704408418381135e-21,0,0.18658005006628509,217827415.32039732,0,1361183.690498905,25
0,9.94819781324175e-21,0,0.1682675055491204,181163811.64673522,0,128997.93550351127,26
0,1.0911373974368526e-20,0,0.5067886663107796,199275161.47360495,0,6722.586898920263,27
0,2.237209947870028e-20,0,0.21493404873277197,49226086.696011215,0,1227910.189325694,28
0,3.128489485342937e-20,0,0.08118627516321607,117718302.17092434,0,3189497.2409883416,29
0,1.5286582165418906e-20,0,0.157757607786827,110299264.10454303,0,19870887.840447403,30
