alg1,alg2,alg3,alg4,alg5,alg6,alg7,measures
0,0.0010540235738325577,0,0.00036639187193122816,0.03438818278744913,0,0.002058064702711538,1
0,0.0007794617963973839,0,0.0012786345351467072,0.009826828328568776,0,0.004386750844397831,2
0,0.0010022706827606668,0,0.0007115125599081275,0.07120620950204765,0,0.004114157434092782,3
0,0.001004133838060315,0,0.0015127743413685085,0.13962706829491064,0,0.0038593905977484418,4
0,0.001006204384753073,0,0.004349806509464733,0.048421108847341354,0,0.005398962996951284,5
0,0.000995964387275954,0,0.0013508169809711415,0.0396983044354376,0,0.00509201586776405,6
0,0.0010012549836503407,0,0.0007573945684003457,0.11304693840956807,0,0.0021335325537080907,7
0,0.001841447786688874,0,0.001111604754939314,0.1366916777590339,0,0.0017034156496802115,8
0,0.000811548844024801,0,0.0020623840456819643,0.03289231318549608,0,0.0019914966620895296,9
0,0.001005620762079692,0,0.00045636595577374603,0.1071289200311881,0,0.0029042746841677547,10
0,0.0008543362750094724,0,0.0010694453055062798,0.08287701742764819,0,0.04121587648143291,11
0,0.0010982865797166208,0,0.0004518008642626867,0.0889643171735914,0,0.0025029606436247813,12
0,0.0010303140987525895,0,0.0013236568140572052,0.03388775200587234,0,0.012028226410905824,13
0,0.001022754814379752,0,0.0019570528071828483,0.06635561876616801,0,0.003494295069455778,14
0,0.0014063320003083767,0,0.0004576514728049572,0.18729069993178982,0,0.010151142274697971,15
0,0.0009971915222023486,0,0.0010232749664665559,0.09407243959221112,0,0.0017040499930256402,16
0,0.0008091510238383766,0,0.0011515887170422975,0.01803710562216863,0,0.056205694408319254,17
0,0.0007599348915814514,0,0.0007049319250891263,0.1042328146359812,0,0.021936643981008475,18
0,0.0009997750147837606,0,0.00032044095232508887,0.08036170347548799,0,0.007453544382758981,19
0,0.0010141509895194333,0,0.0010158263878181735,0.08527870764588334,0,0.0014535311095367558,20
0,0.0010125720154840006,0,0.0014848315208673911,0.07161962392112686,0,0.005536690049355571,21
0,0.0019147454813710882,0,0.0012358591097265702,0.19983738076672083,0,0.09189086015017961,22
0,0.0010398286930724662,0,0.0010378635665734286,0.1592983301527851,0,0.0057298798832602455,23
0,0.0010019130207469915,0,0.0014609094359646585,0.145605250249164,0,0.010363559084260987,24
0,0.0010191441337253182,0,0.0016062108193372238,0.024699898475369107,0,0.0049086392410592344,25
0,0.0008467802844261762,0,0.00041123535190840457,0.10669665111540334,0,0.01579094747545208,26
0,0.0009061770002730276,0,0.0032084127390111534,0.06401409951801866,0,0.00871223068724018,27
0,0.0010291984010052891,0,0.0021562615692059485,0.040919991920850614,0,0.002236827489362334,28
0,0.0006088626945106525,0,0.0003337016589799642,0.09622286530939247,0,0.005124055176610595,29
0,0.0010229849255054154,0,0.001813308858392542,0.22052962804789125,0,0.002945813681488383,30
