alg1,alg2,alg3,alg4,alg5,alg6,alg7,measures
0,7.424954612138854e-05,0,1.550025009314145e-101,67.50553936145661,0,35.75035391422843,1
0,0.00010299256790042633,0,3.47161155577654e-101,53.01322547487729,0,43.9533563936303,2
0,0.0001174207263439406,0,3.404513269753828e-98,67.2737151268299,0,39.39346451037596,3
0,0.000135921748734207,0,4.4147351390446254e-98,61.08319357927101,0,41.16209812969217,4
0,9.518921694600874e-05,0,1.946412351973927e-99,72.45823100525735,0,30.746306355262227,5
0,3.743327938056864e-05,0,7.440079627942425e-98,69.89414034268371,0,29.368444490586455,6
0,7.69115915027255e-05,0,2.3094532964139444e-98,67.90338785313656,0,35.2293641283909,7
0,9.909366967737533e-05,0,5.97325666922526e-100,70.88483561858814,0,10.929210184227081,8
0,5.137908606557913e-05,0,3.993620981605228e-99,60.25168192326375,0,25.25387085247897,9
0,6.498409472803676e-05,0,1.251702962718849e-99,64.43529939104477,0,45.52097683487999,10
0,9.505811249200483e-05,0,4.635465457038428e-99,75.94683985871582,0,25.824239707384535,11
0,0.0001541564964786053,0,1.1234452245938401e-96,54.893383930960624,0,32.54615224739862,12
0,0.00010153159324752344,0,4.135506655543067e-97,55.9919914401221,0,41.897254875225585,13
0,0.00011001477365377447,0,6.721998245123158e-102,55.691688273747474,0,25.816433648817416,14
0,7.107989940850418e-05,0,8.65118039849502e-99,54.48409454976499,0,24.79744613727366,15
0,4.2239565618065195e-05,0,4.221266727042963e-102,61.7088953502807,0,30.426919060181152,16
0,9.564386027870542e-05,0,7.450274684927258e-100,58.26293617640299,0,43.99916482960899,17
0,7.97426491305877e-05,0,8.942863652166739e-100,66.55330103187723,0,39.15917365693066,18
0,5.42043135823289e-05,0,4.709430391166379e-98,64.23471515106058,0,29.653755294688978,19
0,0.00012064993464598939,0,1.6988907500504336e-99,63.02759304779859,0,27.013421461059295,20
0,6.014681303164848e-05,0,5.7947561044866966e-99,62.52645021191631,0,39.53720343649261,21
0,9.221950360504901e-05,0,1.2901320116749247e-101,68.87976071274764,0,41.667744503440744,22
0,0.00023046553632382878,0,1.8793139008654638e-98,53.892358496648995,0,29.63128783292231,23
0,7.589734878378455e-05,0,4.410247530689325e-99,60.151968330784,0,15.063666774931235,24
0,0.00011363919156184783,0,7.036528799021413e-99,59.98352997235108,0,26.831039648927216,25
0,0.0001282281539299263,0,2.5559996569987273e-99,76.3461091186843,0,44.7004684620813,26
0,0.00010270322110754438,0,1.0848191753598646e-99,66.09274208648742,0,34.63085929336508,27
0,7.127461862937643e-05,0,1.2266978466366726e-100,69.68844631143267,0,42.81607956155616,28
0,0.0001026211880192446,0,6.147391567843307e-101,68.75567694362047,0,17.025663962102428,29
0,5.662028716330828e-05,0,3.227532178338644e-100,59.808878453957306,0,39.270404079455176,30
