alg1,alg2,alg3,alg4,alg5,alg6,alg7,measures
-1.4740163184906308,-10.536409816692048,-10.03613777322429,-9.288644633217759,-0.6992863443603909,-2.4583799904198567,-1.39820194647895,1
-2.1502834748808572,-10.536409816692046,-3.8350821370300183,-10.154283478520862,-1.106936262308454,-4.38546808984924,-1.4188471394848796,2
-1.8621982388927751,-10.536409816692048,-3.807851670636997,-4.903007849090813,-0.6883066576861542,-5.3995984415239695,-1.2118548426911468,3
-1.961400648905261,-10.536409816692048,-3.560237990181397,-2.419611297576106,-0.580676200889394,-1.9681824543750062,-2.12812554397157,4
-1.5616579112357223,-10.536409816692048,-10.536372989676313,-10.39800143013649,-0.773733192873706,-3.1639280406963657,-1.4724538637640574,5
-1.2601878021719808,-10.536409816692048,-10.535848392111964,-10.49542454987547,-0.8561648712820168,-5.1115434063787095,-0.9093244805071883,6
-2.9446891697653985,-10.536409816692048,-5.150237724375803,-3.626520187786587,-0.8618315651240224,-4.395016635371558,-2.8437682366689425,7
-3.947392967757239,-10.536409816692048,-9.987950349134344,-10.296698628350827,-1.6538870861293324,-2.278511422635456,-1.7306718296325245,8
-1.9120148904212453,-10.536409816692048,-3.835002127264358,-4.957483216776074,-0.8250265456375364,-4.7280526738646245,-0.8977927797410415,9
-1.8975068338458128,-10.536409816692048,-2.4272439707612965,-8.855551514752928,-0.8263625652751624,-4.416277680058629,-0.8165856123740741,10
-3.396115048326124,-10.536409816692046,-3.7434650849673194,-10.501623679443584,-0.6785895101125617,-1.1935016260967537,-1.013012836233151,11
-2.1516050965664717,-10.536409816692048,-10.473712636118371,-9.912832295732517,-1.0416611233656983,-3.793453612010504,-1.2376856607929319,12
-3.4152282737141233,-10.536409816692048,-10.517433925688211,-9.367236064900856,-0.8402279050372898,-1.9063891127818071,-0.8808708134511049,13
-2.096536367357277,-10.536409816692046,-8.900974206054725,-6.872968688560518,-0.9194967476173183,-4.936465436664197,-1.610117901625754,14
-2.598604382078409,-10.536409816692048,-2.866496845908044,-9.452698597987593,-0.6746811449626665,-2.7035676459330507,-0.7294096976592437,15
-2.412057406954153,-10.536409816692048,-5.1750667091790294,-10.407296170276329,-0.6949602087536978,-3.2160183602236363,-2.147697740553204,16
-2.078012690240895,-10.536409816692048,-2.806630665086869,-5.115954829238225,-0.757824225885809,-3.1949833341121274,-1.9687935404257089,17
-4.261517284914381,-10.536409816692048,-10.43213023463604,-4.974508200495695,-0.9116772360014294,-3.9129169020881327,-1.0912366419630133,18
-1.3501687435988845,-10.536409816692048,-2.868167800500036,-4.675173965111204,-0.5924141770618929,-1.86298799417607,-0.8544847905905322,19
-1.5816665030529307,-10.536409816692046,-5.150672662242715,-10.481976211407861,-0.6697035692298384,-3.2655974726219843,-0.8802179621005467,20
-1.546903567662505,-10.536409816692048,-2.415745345455412,-5.095384051585747,-1.7395316024748744,-3.6768469116686977,-1.5297553867416867,21
-4.421326553603063,-10.536409816692048,-2.8051171442961937,-10.455115181128399,-0.990069303386669,-1.2087854652284886,-1.2824262233730326,22
-3.8881743762990006,-10.536409816692048,-5.124231146961974,-10.27295917576307,-0.955885644458386,-1.1335786746351717,-0.6532189205023198,23
-1.0930910371929026,-10.536409816692048,-2.863207407492398,-4.966433397695789,-0.575135016014177,-1.7371623045005644,-0.9569116694732739,24
-2.8219068322135428,-10.536409816692048,-8.977239556791481,-9.93820237929172,-1.2938156986025104,-8.393741812013271,-0.7801495893053207,25
-1.773766719667763,-10.536409816692048,-10.529575627558751,-9.162709931137774,-0.7109432467039758,-1.8429262655217695,-1.1125497849010662,26
-1.8794203583197875,-10.536409816692048,-2.4088235483408984,-10.030022193179974,-1.0640503847432357,-2.122228639944908,-0.8419135244138527,27
-2.1570237559282606,-10.536409816692048,-2.8058261623337257,-10.519153221593614,-0.7731909470378738,-3.9339493193257935,-1.133281362022683,28
-1.463822219361867,-10.536409816692048,-2.8672251653529877,-10.425561857893056,-1.013179343145093,-1.5621284014195813,-0.7661914676641409,29
-1.7768296351374515,-10.536409816692048,-3.8336818083545725,-10.509835152507536,-0.7210577774560278,-1.2161497215583486,-1.5584945728779727,30
