alg1,alg2,alg3,alg4,alg5,alg6,alg7,measures
0,6.512212991083288e-11,0,8.881784197001252e-16,19.45249809711139,0,17.416259757075817,1
0,1.2292833417859583e-10,0,8.881784197001252e-16,19.849881334579873,0,14.925851375195503,2
0,1.3284040534244923e-10,0,8.881784197001252e-16,19.546197715056756,0,16.058285582912003,3
0,7.16271486567166e-11,0,8.881784197001252e-16,19.6355889062131,0,13.69259546312541,4
0,7.675371449522572e-11,0,8.881784197001252e-16,16.58728844654258,0,16.253086837846638,5
0,1.829443263545727e-10,0,8.881784197001252e-16,18.788303416166794,0,15.049347553881116,6
0,4.7408299508333585e-11,0,8.881784197001252e-16,19.61060118923236,0,15.535690431639235,7
0,1.4161560812908647e-10,0,8.881784197001252e-16,19.616212798739927,0,16.84941890535521,8
0,2.926814346437823e-11,0,8.881784197001252e-16,20.06244281944135,0,16.891369465913275,9
0,1.5579448842117927e-10,0,8.881784197001252e-16,19.183058322584028,0,12.63726358236866,10
0,7.186518047319623e-11,0,8.881784197001252e-16,18.79971051882245,0,15.912801830370984,11
0,2.1458834709164876e-10,0,8.881784197001252e-16,17.46262273390027,0,16.782548283783722,12
0,1.1318324055764606e-10,0,8.881784197001252e-16,20.31746263214833,0,14.690255672850608,13
0,5.912870193469644e-11,0,8.881784197001252e-16,20.18098343459294,0,17.453926694247134,14
0,1.525473081187556e-10,0,8.881784197001252e-16,20.46124043306654,0,14.377162597826068,15
0,1.4707968176708164e-10,0,8.881784197001252e-16,20.106824891521235,0,14.203257616577865,16
0,7.481393282660065e-11,0,8.881784197001252e-16,19.04840641700307,0,13.992194568273057,17
0,1.4213430432619134e-10,0,8.881784197001252e-16,20.162772855284086,0,13.52581973539802,18
0,5.0609294532932836e-11,0,8.881784197001252e-16,19.239809253729693,0,13.10108011959856,19
0,4.1660008776034374e-11,0,8.881784197001252e-16,19.47992103004696,0,8.8473476398064,20
0,2.184359360057897e-10,0,8.881784197001252e-16,20.144437256720483,0,15.616040877808803,21
0,8.704592602271077e-11,0,8.881784197001252e-16,20.152713439811027,0,3.839553130190148,22
0,7.837730464643755e-11,0,8.881784197001252e-16,20.161650817186192,0,15.059556213781136,23
0,9.959055802255534e-11,0,8.881784197001252e-16,19.157079409583964,0,14.886051640272733,24
0,2.609761295957469e-10,0,8.881784197001252e-16,19.521921224228098,0,14.927703477250386,25
0,1.0859668719831461e-10,0,8.881784197001252e-16,18.936002383684507,0,15.007980396568072,26
0,7.180833705433542e-11,0,8.881784197001252e-16,19.938946319025955,0,16.571842986418478,27
0,5.546585413185312e-11,0,8.881784197001252e-16,20.00490168858435,0,18.876513748546277,28
0,8.812595098106613e-11,0,8.881784197001252e-16,18.075230002841874,0,16.550283246104275,29
0,7.806821855638191e-11,0,8.881784197001252e-16,20.018921372507894,0,17.644345573381127,30
