alg1,alg2,alg3,alg4,alg5,alg6,alg7,measures
0,2.1212496836490775,0,5.590285253926072e-200,11122.396410731886,0,4831.592768549952,1
0,4.11861935745456,0,2.574018656701246e-201,18890.64009932916,0,3106.9229974496093,2
0,0.8707338939256454,0,8.758562850749366e-198,18547.615474376515,0,5460.248893673448,3
0,4.321469091206534,0,9.519517465016599e-197,13695.29984423774,0,14091.32895773164,4
0,1.3196188393205697,0,5.280210745664733e-195,8989.315206151772,0,2642.378714758104,5
0,1.5098906138547468,0,3.404141659384472e-190,12166.558987913753,0,4235.728146038303,6
0,0.8300014016186307,0,2.814758455432208e-204,12249.567562276405,0,8124.085325149985,7
0,1.250910647819715,0,1.4486970194834322e-199,17152.367679706567,0,2119.386429924821,8
0,1.9451844003348842,0,9.289572630035395e-201,16296.111037043995,0,10907.117458002835,9
0,2.8557266871771336,0,6.815082300112779e-198,21522.580264039127,0,4806.782917976562,10
0,1.4980534159676548,0,6.04396313204303e-203,17808.30212975415,0,2287.0133374701363,11
0,1.0151148455456878,0,2.7402380259855793e-197,11473.682907921222,0,2062.716234487212,12
0,1.07250573525155,0,4.8497080975290844e-198,19359.16211513319,0,4318.087093732592,13
0,0.7524771384594824,0,3.6990817266851415e-193,11546.220412182513,0,16419.577368481805,14
0,2.319123091567282,0,4.745935797142027e-198,15509.67538849626,0,564.146844401576,15
0,2.195299593913514,0,5.894676416750206e-200,18636.08987747986,0,7970.24233687759,16
0,1.7082480607553074,0,1.0545028598875038e-195,18017.655348612214,0,11799.552804864285,17
0,2.2500100146855493,0,4.769340716847192e-199,14385.857134803256,0,1866.1095374209451,18
0,1.7385400225473806,0,1.4083599804373833e-196,17037.24320562902,0,4027.1106516354976,19
0,0.8165512408206153,0,5.095656795669339e-199,5118.414785548817,0,9439.943038471629,20
0,4.670687135906391,0,3.248780691443267e-198,20221.484162633606,0,5550.127047457644,21
0,0.8076827209204434,0,5.995952892080386e-196,19266.64700734618,0,7463.766437849804,22
0,1.2541483231638275,0,2.2304886544785146e-199,20471.373297011196,0,8235.511827579057,23
0,1.2129018139694305,0,7.695049340063782e-197,12701.105076672437,0,4049.174010560443,24
0,2.6419879921095846,0,6.065297188433441e-200,13244.049475802934,0,1104.2802703808616,25
0,3.3326373432898424,0,1.2564631302731397e-199,17009.917956997386,0,2978.6415239530925,26
0,2.2817306580993506,0,4.371735969208308e-199,8629.021533691683,0,7153.4162563667205,27
0,1.0033075746204843,0,7.145487495843701e-197,17705.753837750726,0,7455.499399005921,28
0,0.633695816231343,0,1.44557701764247e-198,14306.445193880152,0,7821.3088093997485,29
0,2.8602282168537334,0,2.514955487152585e-196,15856.724760267505,0,788.875788730991,30
