alg1,alg2,alg3,alg4,alg5,alg6,alg7,measures
-1.2528776526926797,-3.3219951715842426,-3.3159274660968934,-3.097711322185989,-2.6955901210287356,-1.5983753481911327,-1.136985892680742,1
-1.764522782963157,-3.3219951024898093,-3.313250426612033,-2.8873279135328374,-1.7260699579899135,-2.8841512745742706,-2.693609291547448,2
-1.6898422828192936,-3.3219951715842426,-3.3091313350335714,-3.3034249696371223,-1.8128356406876551,-2.9585881326618133,-1.2036268003743966,3
-2.281905062203542,-3.3219951715842426,-2.9017460943242734,-3.1531357961850217,-1.6357503627987133,-3.091970686719078,-1.3554994204518094,4
-2.4024939858075482,-3.3219951715842426,-3.298486270815668,-3.253305494856096,-2.208699095921324,-3.0485318567601216,-2.173682070579198,5
-1.7085228856208967,-3.3167634695041546,-3.285405979543504,-2.825197252418964,-2.0865388931496134,-1.9858694076291208,-1.5069085017229302,6
-2.3111524308742624,-3.3219951715842426,-3.2489033860368095,-3.2255644877952734,-1.098701441203774,-2.2651706756975805,-2.461769863636834,7
-1.8250980184789332,-3.3219951715842426,-3.107119350937733,-3.260597729050815,-2.361504310278238,-2.623350536224651,-1.6454128061026987,8
-1.4978025062949978,-3.3219951715842426,-3.3219092448565766,-3.1617219471379854,-1.0521920097563382,-2.7838481593036395,-1.81196953301281,9
-1.9015506446300625,-3.203102050264328,-3.163097756798841,-3.2033209522635935,-2.462865300442102,-2.403360571712361,-0.9908331240155279,10
-2.7495406653343637,-3.3219951715842426,-3.117995068425885,-2.819296900230246,-1.4149589810113639,-3.0219060685716266,-1.8683889777377896,11
-2.283039363029923,-3.3219951715842426,-3.141613827163971,-3.239421309710649,-1.1830643127439688,-2.8787045047610467,-2.219042956482367,12
-1.4299682053383431,-3.3219951715842426,-3.27179846977532,-3.1981142351776053,-2.1893599866282427,-2.38782619091627,-2.0711665337480136,13
-1.8534346502157604,-3.3219951715842426,-3.0865847167005662,-3.2825189128143535,-0.7656619372921547,-1.7774891399126422,-0.9714284146071722,14
-1.2611292895178148,-3.3219951715842337,-3.2009261362954007,-2.895783504311397,-1.1470081499700187,-2.4494520530293187,-1.4792829523513638,15
-3.1517536920528935,-3.3219951715842426,-3.1764751557213606,-3.275958994078258,-2.0159528191058147,-2.524355890015386,-1.7419591161095724,16
-2.0644843793240875,-3.203102050264328,-3.2851154291477527,-3.1697129286632726,-1.1936158591802397,-3.043247532716297,-1.5418813384575305,17
-1.119528090756296,-3.3219951715842426,-3.301985539582855,-3.188361706745608,-2.256083917073323,-2.993754828972073,-1.9246696021577492,18
-2.3554387772454217,-3.3219951715842426,-3.2954941606611374,-3.1026248229832465,-1.4556341058923223,-2.163422477560838,-1.6421570992075238,19
-1.812829901173969,-3.3219951715842426,-3.300373479153848,-2.9259934093944,-1.0443236836981111,-2.412991215359273,-1.505301408828293,20
-1.7388890643206187,-3.3219951715840947,-3.2046895283684074,-3.175617175544986,-1.2016826800236793,-2.4131154096467538,-1.2556048802191377,21
-1.677987435530787,-3.3219951715842426,-3.320198512283649,-3.1932894621762404,-1.0225054967950946,-2.751858709530643,-1.85985662373722,22
-2.4637145986603293,-3.3196101037639814,-3.0345003786532643,-3.152974758028046,-1.897821229978907,-3.050777047412507,-1.0621064392439117,23
-3.1088761081980487,-3.3219951715842426,-3.2282387949594438,-3.1479494002194257,-1.6492350139700063,-3.1236753909233603,-1.5956755284823525,24
-1.8904872622456836,-3.3219951715842426,-3.275995785247454,-3.0519286878239718,-2.4087321298237154,-2.8028117577998164,-2.406309178483178,25
-1.787242773999115,-3.321995171584137,-3.160405295882465,-3.0654496768022677,-2.2347709074866606,-2.6617219293547434,-1.0485521008412955,26
-1.2185693281158074,-3.3219951715838882,-3.3211652022585634,-2.9967945062251773,-1.3427238581209602,-2.6032126007585026,-1.6271490174123313,27
-1.9236263679910068,-3.3219951715842426,-3.320846369971081,-2.924766518814903,-1.5210826133104782,-2.38768561889761,-2.137281161123531,28
-1.3971812127015408,-3.3219951715842426,-3.281855778277104,-3.286605967842725,-2.054458939662752,-3.0812138982921877,-1.0687870808981732,29
-1.9830015198881752,-3.3219951715842426,-3.3107757107925067,-3.30624955816562,-2.185235186771832,-2.75523102165464,-2.561180851125787,30
