alg1,alg2,alg3,alg4,alg5,alg6,alg7,measures
-1472.677242498086,-11339270767.372223,0,-2.5704288058098383e+65,-1671.7768479873102,-1.142565782196663e+67,-4.8269064295911505e+154,1
-1518.0300457527326,-71723353516.77649,0,-3.2181687721312663e+59,-1709.553235761106,-6.799746692336191e+68,-5.475441957236803e+154,2
-1394.5431331690847,-9807348820.429789,0,-1.8267576002549848e+63,-1357.7258395489794,-4.526158060189025e+65,-2.5532776300631186e+158,3
-1317.6178401497355,-2.92721236761268e+16,0,-3.265160125841574e+61,-1471.2137902043266,-6.400561687167362e+66,-1.4824555909877702e+153,4
-1484.862642477805,-54382836452.10691,0,-6.761464371377533e+55,-1739.2754719725851,-8.920874909687762e+67,-8.365719914762906e+149,5
-1255.8030158777851,-351429610465.93176,0,-8.111885432822846e+62,-1540.2050469294743,-3.2546833854253513e+64,-5.966354056461986e+152,6
-1550.0969792255923,-5668830280.141562,0,-3.0882491937389465e+56,-1062.6962222383481,-4.2812948853772975e+65,-6.892133502546612e+150,7
-1444.692802251147,-7285132857571.084,0,-5.1344943220905804e+64,-1754.730032415046,-1.6787409094731824e+71,-1.574191282558289e+151,8
-1746.250484773935,-15864324557.957455,0,-2.948881888017164e+61,-1956.986618122206,-1.4639073579014524e+68,-7.95249445334027e+153,9
-1234.4321127128921,-117400273157329.9,0,-1.0861548182878104e+69,-1025.9486386536137,-1.947021433507452e+65,-2.04378384812503e+153,10
-957.4341723999563,-2.5744685001583924e+16,0,-2.8752240623526073e+57,-1497.098956420159,-1.2449344732104113e+69,-7.324128997061972e+154,11
-1520.7489913327129,-14047331569.776518,0,-1.98471599236136e+61,-1097.6311460838388,-1.800939379178033e+66,-1.2263328202877128e+153,12
-1148.0250197978014,-3895767270.8913975,0,-3.768624639013269e+57,-1364.1894015741645,-1.0554540584647284e+67,-2.818926609978958e+152,13
-1454.445053677519,-37271294057643.31,0,-4.991895211481699e+63,-1667.954382056673,-7.65628914876997e+66,-7.2115728152812615e+149,14
-1527.3639911812118,-25781892432.7631,0,-5.408643079713033e+60,-1405.9055938548263,-8.590936790587144e+64,-3.0467857930286834e+152,15
-1106.104514876764,-27240921523.632416,0,-8.055578592665353e+61,-970.3347288201147,-9.664191648824685e+66,-1.470600100480727e+154,16
-1430.5091368798674,-54809542773354.34,0,-1.9332669688585442e+59,-1071.5489764955048,-4.8224128910584476e+69,-8.469515449458818e+148,17
-1138.4712207309994,-12222245920.635206,0,-3.5194205662649892e+59,-1357.436726580897,-7.181515003063507e+65,-8.168999247307806e+151,18
-1396.759122303429,-12677352679399.648,0,-3.0900475140712e+60,-1078.8628421082192,-5.569459708120294e+66,-3.0007538782854545e+152,19
-1591.77058043609,-1113441345.1147864,0,-1.2955248473890717e+57,-1670.6569987054886,-1.7329311447347766e+66,-5.878433285349935e+151,20
-1708.7954121087723,-574203502483189.6,0,-4.8723615411343235e+55,-1235.4472411057236,-3.3208622256685142e+66,-1.6498036134454492e+150,21
-1635.6327712780358,-121101405692.10445,0,-4.211453579575015e+62,-1730.4444867353784,-1.3723496341556754e+66,-2.2032835573546273e+152,22
-1064.724142110309,-360190656454.93823,0,-2.7425937327104434e+63,-946.3713036588852,-7.004135787421419e+65,-6.974808261285048e+156,23
-1224.3602385568556,-174745847317.32834,0,-2.9260722967198685e+64,-1210.2863502911177,-6.448056229998958e+64,-8.165712009262054e+154,24
-1432.7577914699148,-21316609028.50988,0,-6.674662319512486e+64,-1815.5045490002353,-3.685639903463603e+66,-1.8771431442550774e+146,25
-1203.3335873868966,-516781205.7416498,0,-1.4858365447318596e+53,-1076.049687179915,-5.985098508692997e+65,-1.2742598430320572e+151,26
-1107.8233934827158,-3940402246.2421412,0,-7.990387632827821e+63,-2016.8660579221325,-1.665796589702014e+64,-1.243663807701947e+153,27
-1369.405614441424,-3.2451290835659844e+16,0,-8.282326202055572e+61,-1688.284739969231,-8.953975328001255e+66,-3.176137649618497e+154,28
-1243.6409268042228,-4817367600.779929,0,-8.712233029367597e+63,-1169.5496632239024,-4.2038949433842574e+64,-9.814959920615048e+153,29
-1388.6847826421426,-48600206148.318726,0,-9.60189232532729e+59,-1534.2450197239114,-1.7159415189525188e+65,-1.853833317050749e+148,30
